_id,title,author,publisher,price,comment_count
65277e53f0c5ed1ad19554c1,Gece Yarısı Kütüphanesi, Matt Haig,DOMİNGO YAYINEVİ," 70,45",1.274
65277e54f0c5ed1ad19554c2,Kapra Felsefe Seti (10 Kitap), Rene Descartes,KAPRA YAYINCILIK," 75,90",160
65277e55f0c5ed1ad19554c3,Zeytindağı, Falih Rıfkı Atay,POZİTİF YAYINLARI," 47,44",1.252
65277e55f0c5ed1ad19554c4,İnsanlar, Matt Haig,DOMİNGO YAYINEVİ," 84,48",124
65277e56f0c5ed1ad19554c5,Evlenmeden Önce, Doğan Cüceloğlu,KRONİK KİTAP," 55,01",70
65277e56f0c5ed1ad19554c6,Nefs Terbiyesi ve Ahlakı Güzelleştirme, İmam Gazali,ÇELİK YAYINEVİ," 35,35",64
65277e57f0c5ed1ad19554c7,Ayvayı Yedik Müzesi, Mert Arık,TİMAŞ ÇOCUK YAYINLARI," 47,60",11
65277e57f0c5ed1ad19554c8,İrade Terbiyesi, Jules Payot,KAPRA YAYINCILIK," 12,90",133
65277e58f0c5ed1ad19554c9,Bilinçaltının Gücü , Joseph Murphy,DİYOJEN YAYINCILIK," 70,40",86
65277e58f0c5ed1ad19554ca,Çavdar Tarlasında Çocuklar, J. D. Salinger,YAPI KREDİ YAYINLARI," 56,10",2.537
65277e59f0c5ed1ad19554cb,İnce Memed 1, Yaşar Kemal,YAPI KREDİ YAYINLARI," 105,90",2.220
65277e59f0c5ed1ad19554cc,İçimdeki Melodi, Sharon M. Draper,TİMAŞ GENÇ," 81,73",81
65277e5af0c5ed1ad19554cd,Dervişin Teselli Koleksiyonu , Mecit Ömür Öztürk,HAYY KİTAP," 77,00",1.055
65277e5bf0c5ed1ad19554ce,Şehirdeki Gizemli Sinyal - Faruk, Caner Sarıoğlu,TİMAŞ ÇOCUK YAYINLARI," 46,20",32
65277e5bf0c5ed1ad19554cf,İyi Hissetmek,Dr. David Burns,PSİKONET YAYINLARI," 118,95",1.181
65277e5cf0c5ed1ad19554d0,Bir Ömür Nasıl Yaşanır? ,Prof. Dr. İlber Ortaylı,KRONİK KİTAP," 52,26",4.096
65277e5ff0c5ed1ad19554d1,Sular Üstünde Gökler Altında, Kaan Murat Yanık,KETEBE YAYINEVİ," 55,95",85
65277e5ff0c5ed1ad19554d2,"Suç ve Ceza (2 Cilt Takım) (Ciltli, İplik Dikişli) ", Fyodor Mihailoviç Dostoyevski,KAPRA YAYINCILIK," 49,80",59
65277e60f0c5ed1ad19554d3,Dervişin Teselli Koleksiyonu 2, Mecit Ömür Öztürk,HAYY KİTAP," 77,00",96
65277e60f0c5ed1ad19554d4,Kalplerin Keşfi / Mukaşefetü'l Kulüp (Ciltsiz), İmam Gazali,ÇELİK YAYINEVİ," 86,90",277
65277e61f0c5ed1ad19554d5,Hayatı Yeniden Keşfedin, Jeffrey E. Young,PSİKONET YAYINLARI," 105,60",331
65277e61f0c5ed1ad19554d6,Yüzyıllık Yalnızlık (Ciltsiz), Gabriel Garcia Marquez,CAN YAYINLARI," 118,41",2.449
65277e62f0c5ed1ad19554d7,Lo, Şermin Yaşar,DOĞAN ÇOCUK," 85,44",56
65277e62f0c5ed1ad19554d8,Dakikalar İçinde Atatürk ve Dünyası ,Prof. Dr. İlber Ortaylı,KRONİK KİTAP," 41,26",54
65277e63f0c5ed1ad19554d9,Kayıp Tanrılar Ülkesi, Ahmet Ümit,YAPI KREDİ YAYINLARI," 181,50",616
65277e63f0c5ed1ad19554da,Bir İdam Mahkumunun Son Günü, Victor Hugo,KAPRA YAYINCILIK," 9,90",146
65277e64f0c5ed1ad19554db,"Ben, Kirke", Madeline Miller,İTHAKİ YAYINLARI," 126,53",1.038
65277e64f0c5ed1ad19554dc,KPSS ALES DGS Ezberbozan Paragraf Soru Bankası, Kolektif ,PEGEM AKADEMİ YAYINCILIK-SINAV KİTAPLARI," 182,92",306
65277e65f0c5ed1ad19554dd,Pal Sokağı Çocukları, Ferenc Molnar,KAPRA YAYINCILIK," 12,90",36
65277e66f0c5ed1ad19554de,On Kişiydiler (On Küçük Zenci), Agatha Christie,ALTIN KİTAPLAR," 68,31",203
65277e66f0c5ed1ad19554df,Tutunamayanlar / Bütün Eserleri 1, Oğuz Atay,İLETİŞİM YAYINLARI," 175,00",2.598
65277e67f0c5ed1ad19554e0,Çürümenin Kitabı, Emil Michel Cioran,METİS YAYINLARI," 80,74",359
65277e68f0c5ed1ad19554e1,Kaplanın Sırtında , Zülfü Livaneli,İNKILAP KİTABEVİ," 91,00",27
65277e68f0c5ed1ad19554e2,Kuru Kız, Ayfer Tunç,CAN YAYINLARI," 69,10",65
65277e69f0c5ed1ad19554e3,Herkes O’nu Anlatıyor 1 / Ailesi, Hatice Kübra Tongar,AİLE YAYINLARI," 81,25",14
65277e69f0c5ed1ad19554e4,Peygamberliğin İspatı , Altay Cem Meriç,İNSAN YAYINLARI," 158,73",138
65277e6af0c5ed1ad19554e5,Cumhuriyetin 100 İsmi: Büyük Devrimin Portreleri, Emrah Safa Gürkan,MUNDİ," 81,90",26
65277e6af0c5ed1ad19554e6,Zamanı Durdurmanın Yolları, Matt Haig,DOMİNGO YAYINEVİ," 84,48",264
65277e6bf0c5ed1ad19554e7,Başarısızlar Kulübü, Anıl Basılı,TİMAŞ İLK GENÇ ," 52,50",86
65277e6cf0c5ed1ad19554e8,Anne Beni İyileştir, M. Barış Muslu,DOĞAN KİTAP," 80,10",41
65277e6cf0c5ed1ad19554e9,Hz. Ömer (R.A.), Mehmet  Yıldız,TİMAŞ YAYINLARI," 52,50",20
65277e6df0c5ed1ad19554ea,İblis İmparatorluğu /  Büyük Sıfırlama, Mustafa Güldağı,LOPUS," 72,00",34
65277e6df0c5ed1ad19554eb,Gerçek Özgürlük, Doğan Cüceloğlu,KRONİK KİTAP," 71,60",34
65277e6ef0c5ed1ad19554ec,"Bin Dokuz Yüz Seksen Dört 1984 (Ciltli, İplik Dikişli)", George Orwell,KAPRA YAYINCILIK," 24,90",35
65277e6ff0c5ed1ad19554ed,Kuyucaklı Yusuf, Sabahattin Ali,YAPI KREDİ YAYINLARI," 14,18",4.822
65277e72f0c5ed1ad19554ee,Bir İdam Mahkumunun Son Günü (Cep Boy) (Tam Metin), Victor Hugo,KARBON KİTAPLAR," 8,90",416
65277e72f0c5ed1ad19554ef,Mai ve Siyah , Halid Ziya Uşaklıgil,KAPRA YAYINCILIK," 14,90",56
65277e73f0c5ed1ad19554f0,Boş Dolaplar, Annie Ernaux,CAN YAYINLARI," 51,98",20
65277e73f0c5ed1ad19554f1,Âşıklara Yer Yok, Tarık Tufan,DOĞAN KİTAP," 86,42",52
65277e74f0c5ed1ad19554f2,Algernon'a Çiçekler, Daniel Keyes,KORİDOR YAYINCILIK," 81,84",561
65277e74f0c5ed1ad19554f3,Afrikalı Leo, Amin Maalouf,YAPI KREDİ YAYINLARI," 76,90",933
65277e75f0c5ed1ad19554f4,Benim Adım Sena  , Julia Sena Yamanoğlu,NESİL YAYINLARI," 54,00",87
65277e75f0c5ed1ad19554f5,Gezegenimiz Dünya / İlk Okuma, Leonie Pratt,TÜBİTAK YAYINLARI," 11,05",90
65277e76f0c5ed1ad19554f6,Toprak Ana, Cengiz Aytmatov,KETEBE YAYINEVİ," 40,80",81
65277e76f0c5ed1ad19554f7,Gülün Adı (Ciltsiz), Umberto Eco,CAN YAYINLARI," 161,70",1.321
65277e77f0c5ed1ad19554f8,Hayvanlardan Tanrılara Sapiens , Yuval Noah Harari,KOLEKTİF KİTAP," 155,10",2.305
65277e77f0c5ed1ad19554f9,Başarıya Götüren Aile, Doğan Cüceloğlu,REMZİ KİTABEVİ," 66,60",533
65277e78f0c5ed1ad19554fa,KPSS'nin Haritası, Semra Dilekçi,KİTAPYURDU DOĞRUDAN YAYINCILIK (KDY)," 128,00",53
65277e78f0c5ed1ad19554fb,Çetin Ceviz ve Mucide, Sinan Yaşar,FOM KİTAP," 47,70",201
65277e79f0c5ed1ad19554fc,Bir İdam Mahkumunun Son Günü, Victor Hugo,KARBON KİTAPLAR," 27,55",563
65277e79f0c5ed1ad19554fd,Yeşil Kafalar 1 / Ormanı Yemek Yasak, Tuğba Coşkuner,CEZVE ÇOCUK," 65,76",275
65277e7af0c5ed1ad19554fe,Milli İstihbarat Teşkilatı (1826-2023), Polat Safi,KRONİK KİTAP," 108,00",20
65277e7af0c5ed1ad19554ff,Keloğlan Oruç Peşinde, Merve Gülcemal,CEZVE ÇOCUK," 56,66",243
65277e7bf0c5ed1ad1955500,Kırk Kere Söyledim ,Prof. Dr. Ziya Selçuk,KRONİK KİTAP," 62,70",121
65277e7bf0c5ed1ad1955501,Mırıldanan Çocuk, Gabriele Clima,TİMAŞ İLK GENÇ ," 61,90",124
65277e7cf0c5ed1ad1955502,İnsan Neyle Yaşar?  , Lev N. Tolstoy,KAPRA YAYINCILIK," 12,90",77
65277e7cf0c5ed1ad1955503,Dad, Selahattin Demirtaş,DİPNOT YAYINLARI," 62,02",23
65277e7df0c5ed1ad1955504,Ene , Fatih Duman,NESİL YAYINLARI," 72,00",689
65277e7df0c5ed1ad1955505,Kendini Aldatan İnsan, İmam Gazali,KETEBE YAYINEVİ," 48,84",25
65277e7ff0c5ed1ad1955506,İçimizdeki Şeytan (Cep Boy) (Tam Metin), Sabahattin Ali,KARBON KİTAPLAR," 8,90",259
65277e7ff0c5ed1ad1955507,Öğrenci Kız, Osamu Dazai,İTHAKİ YAYINLARI," 30,00",48
65277e80f0c5ed1ad1955508,"Pal Sokağı Çocukları (Ciltli, İplik Dikişli)", Ferenc Molnar,KAPRA YAYINCILIK," 24,90",18
65277e80f0c5ed1ad1955509,Yakın Tarihin Gerçekleri,Prof. Dr. İlber Ortaylı,KRONİK KİTAP," 73,70",135
65277e81f0c5ed1ad195550a,Dost Kazanma ve İnsanları Etkileme Sanatı, Dale Carnegie,EPSİLON YAYINEVİ," 106,97",219
65277e81f0c5ed1ad195550b,Ayı Olmayan Ayı, Frank Tashlin,REDHOUSE KIDZ YAYINLARI," 38,28",129
65277e82f0c5ed1ad195550c,Huşu Ağacı, Funda Uçuk Er,CEZVE KİTAP," 71,28",136
65277e82f0c5ed1ad195550d,Büyükbabamın Kocaman Denizi, Sylvia Bishop,TİMAŞ ÇOCUK YAYINLARI," 60,00",15
65277e83f0c5ed1ad195550e,Suç ve Ceza (2 Cilt), Fyodor Mihailoviç Dostoyevski,KAPRA YAYINCILIK," 25,80",58
65277e83f0c5ed1ad195550f,Saç Örgüsü, Laetitia Colombani,YAN PASAJ," 71,28",62
65277e84f0c5ed1ad1955510,"Çocuk Kalbi (Ciltli, İplik Dikişli)", Edmondo De Amicis,KAPRA YAYINCILIK," 24,90",31
65277e84f0c5ed1ad1955511,Çocuk Kalbi, Edmondo De Amicis,KAPRA YAYINCILIK," 14,90",79
65277e85f0c5ed1ad1955512,Tuttum Ben Bu Orucu, Hatice Kübra Tongar,HAYY KİTAP," 60,50",38
65277e85f0c5ed1ad1955513,Şeytanın Çırağı, Şiro Hamao,İTHAKİ YAYINLARI," 36,96",76
65277e86f0c5ed1ad1955514,Uğultulu Tepeler, Emily Bronte,CAN YAYINLARI," 62,70",773
65277e87f0c5ed1ad1955515,Bekleyecek Vaktim Kalmadı Artık, Jean-Louis Fournier,YAPI KREDİ YAYINLARI," 38,50",39
